Time(s), T_gas(K), p(Pa), N_gas(#/cm^3), H, H2, O, O2, OH, H2O, HO2, H2O2, AR, HE, H2(v1), H2(v2), H2(v3), O2(v1), O2(v2), O2(v3), O2(v4), O2(A1), O2(B1), O2*, O(1D), O(1S), O3, HE*, HE**, HE2, H^+, H2^+, H3^+, O^+, O2^+, O4^+, OH^+, H2O^+, H3O^+, HE^+, HE2^+, HEH^+, H^-, O^-, O2^-, O3^-, O4^-, OH^-, E, N2, Power_input(W/cm^3), Energy_deposited(mJ/cm^3)
0, 400, 101325, 1.83473e+19, 0, 3.0585e+18, 0, 1.52833e+18, 0, 0, 0, 0, 0, 1.37605e+19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10000, 0, 0, 0
1e-11, 400, 101325, 1.83473e+19, 2674.15, 3.0585e+18, 1422.73, 1.52833e+18, 1.76544, 0.0617364, 0.0104459, 4.1898e-19, 0, 1.37605e+19, 909.131, 83.6143, 7.91085, 238.198, 107.186, 58.9468, 33.5415, 139.183, 34.8357, 94.6001, 864.408, 94.4812, 4.33422e-05, 57.8983, 60.4258, 1.03461e-05, 1.09254e-05, 159.081, 5.18185, 0.176891, 119.502, 0.00428921, 0.00312989, 2.62853e-05, 1.2122e-07, 21.4638, 0.0626852, 1.41725, 0.22999, 5.77279, 0.444382, 5.49888e-05, 1.35238e-06, 0.00291575, 10300.4, 0, 0.00057437, 5.65952e-12
2e-11, 400, 101325, 1.83473e+19, 5444.79, 3.0585e+18, 2889.17, 1.52833e+18, 7.12052, 0.247493, 0.042209, 3.30495e-18, 0, 1.37605e+19, 1845.6, 169.743, 16.0596, 483.559, 217.596, 119.666, 68.0915, 282.571, 71.1358, 192.027, 1750.72, 191.803, 0.000175109, 117.198, 122.544, 4.15975e-05, 4.32087e-05, 308.673, 20.3985, 0.698624, 244.717, 0.0174282, 0.0240457, 0.000377999, 3.1079e-06, 43.2019, 0.250274, 5.47359, 0.462431, 11.5848, 0.908456, 0.000218256, 5.48607e-06, 0.0117019, 10610.5, 0, 0.000591658, 1.14892e-11
3e-11, 400, 101325, 1.83473e+19, 8313.86, 3.0585e+18, 4400.7, 1.52833e+18, 16.1566, 0.558164, 0.095946, 1.12006e-17, 0, 1.37605e+19, 2810.29, 258.467, 24.4538, 736.312, 331.332, 182.215, 103.682, 430.296, 108.944, 292.37, 2659.67, 292.055, 0.000398004, 177.946, 186.41, 9.40867e-05, 9.6134e-05, 449.786, 45.1874, 1.55224, 375.659, 0.0398296, 0.0792953, 0.00184512, 2.22982e-05, 65.2303, 0.562141, 11.8943, 0.697494, 17.4407, 1.39267, 0.000487321, 1.25192e-05, 0.0264208, 10930.4, 0, 0.000609499, 1.74946e-11
4e-11, 400, 101325, 1.83473e+19, 11283.4, 3.0585e+18, 5958.76, 1.52833e+18, 28.9684, 0.99476, 0.17233, 2.67369e-17, 0, 1.37605e+19, 3804.09, 349.868, 33.1014, 996.694, 448.5, 246.652, 140.347, 582.498, 148.306, 395.723, 3591.99, 395.332, 0.000714819, 240.191, 252.079, 0.000168162, 0.000169037, 583.343, 79.1366, 2.72574, 512.355, 0.071908, 0.184141, 0.00568137, 9.11066e-05, 87.5652, 0.997803, 20.4343, 0.935358, 23.3451, 1.8975, 0.000859875, 2.25727e-05, 0.0471395, 11260.6, 0, 0.000627909, 2.36812e-11
5e-11, 400, 101325, 1.83473e+19, 14355.8, 3.0585e+18, 7564.8, 1.52833e+18, 45.6539, 1.5584, 0.272053, 5.26421e-17, 0, 1.37605e+19, 4827.93, 444.032, 42.0104, 1264.95, 569.21, 313.036, 178.119, 739.319, 189.269, 502.182, 4548.47, 501.731, 0.00112844, 303.985, 319.609, 0.000264185, 0.0002613, 710.19, 121.881, 4.20798, 654.848, 0.114081, 0.352658, 0.0135545, 0.00027161, 110.223, 1.55691, 30.8745, 1.1762, 29.3029, 2.42342, 0.00133377, 3.57703e-05, 0.0739304, 11601.3, 0, 0.000646907, 3.00548e-11
6e-11, 400, 101325, 1.83473e+19, 17533.3, 3.0585e+18, 9220.37, 1.52833e+18, 66.3144, 2.25032, 0.395822, 9.17498e-17, 0, 1.37605e+19, 5882.77, 541.048, 51.1891, 1541.32, 693.576, 381.431, 217.036, 900.906, 231.881, 611.846, 5529.9, 611.349, 0.00164183, 369.378, 389.06, 0.000382536, 0.000372354, 831.102, 173.096, 5.98867, 803.196, 0.166768, 0.597827, 0.0275006, 0.000662202, 133.221, 2.23925, 43.0203, 1.42021, 35.3188, 2.97094, 0.001907, 5.22385e-05, 0.106871, 11952.8, 0, 0.00066651, 3.66214e-11
7e-11, 400, 101325, 1.83473e+19, 20818.6, 3.0585e+18, 10927, 1.52833e+18, 91.0547, 3.07188, 0.544365, 1.47009e-16, 0, 1.37605e+19, 6969.61, 641.005, 60.6462, 1826.08, 821.713, 451.899, 257.132, 1067.41, 276.193, 724.818, 6537.1, 724.292, 0.00225807, 436.424, 460.495, 0.000523607, 0.00050167, 946.788, 232.5, 8.05834, 957.47, 0.230396, 0.931615, 0.0498823, 0.00140439, 156.577, 3.04473, 56.6984, 1.66758, 41.3979, 3.54059, 0.00257774, 7.21069e-05, 0.146043, 12315.6, 0, 0.000686738, 4.33871e-11
8e-11, 400, 101325, 1.83473e+19, 24214.4, 3.0585e+18, 12686.4, 1.52833e+18, 119.983, 4.02457, 0.71843, 2.21492e-16, 0, 1.37605e+19, 8089.45, 743.999, 70.3904, 2119.49, 953.742, 524.508, 298.445, 1238.99, 322.254, 841.202, 7570.92, 840.663, 0.00298032, 505.178, 533.976, 0.000687809, 0.000648765, 1057.9, 299.843, 10.4083, 1117.75, 0.305395, 1.36506, 0.0833506, 0.0026888, 180.309, 3.9734, 71.7555, 1.91849, 47.545, 4.13292, 0.00334429, 9.55082e-05, 0.191535, 12689.9, 0, 0.00070761, 5.03584e-11
9e-11, 400, 101325, 1.83473e+19, 27723.4, 3.0585e+18, 14500.1, 1.52833e+18, 153.211, 5.10997, 0.918785, 3.1841e-16, 0, 1.37605e+19, 9243.35, 850.124, 80.4311, 2421.82, 1089.79, 599.325, 341.016, 1415.81, 370.12, 961.107, 8632.23, 960.573, 0.00381184, 575.698, 609.569, 0.000875568, 0.000813196, 1165.04, 374.912, 13.0305, 1284.14, 0.392202, 1.90834, 0.13081, 0.0047605, 204.434, 5.02546, 88.0557, 2.17314, 53.7653, 4.74849, 0.0042051, 0.000122578, 0.243438, 13076.1, 0, 0.000729147, 5.75416e-11
