Time(s), T_gas(K), N_gas(#/cm^3), E, H2, O2, H, O, OH, O2(A1)
1e-11, 400, 1.83473e+19, 10300.4, 3.0585e+18, 1.52833e+18, 2674.15, 1422.73, 1.76544, 139.183
2e-11, 400, 1.83473e+19, 10610.5, 3.0585e+18, 1.52833e+18, 5444.79, 2889.17, 7.12052, 282.571
3e-11, 400, 1.83473e+19, 10930.4, 3.0585e+18, 1.52833e+18, 8313.86, 4400.7, 16.1566, 430.296
4e-11, 400, 1.83473e+19, 11260.6, 3.0585e+18, 1.52833e+18, 11283.4, 5958.76, 28.9684, 582.498
5e-11, 400, 1.83473e+19, 11601.3, 3.0585e+18, 1.52833e+18, 14355.8, 7564.8, 45.6539, 739.319
6e-11, 400, 1.83473e+19, 11952.8, 3.0585e+18, 1.52833e+18, 17533.3, 9220.37, 66.3144, 900.906
7e-11, 400, 1.83473e+19, 12315.6, 3.0585e+18, 1.52833e+18, 20818.6, 10927, 91.0547, 1067.41
8e-11, 400, 1.83473e+19, 12689.9, 3.0585e+18, 1.52833e+18, 24214.4, 12686.4, 119.983, 1238.99
9e-11, 400, 1.83473e+19, 13076.1, 3.0585e+18, 1.52833e+18, 27723.4, 14500.1, 153.211, 1415.81
1e-10, 400, 1.83473e+19, 13474.7, 3.0585e+18, 1.52833e+18, 31348.8, 16369.9, 190.855, 1598.03
1.1e-10, 400, 1.83473e+19, 13885.8, 3.0585e+18, 1.52833e+18, 35093.7, 18297.6, 233.033, 1785.82
1.2e-10, 400, 1.83473e+19, 14310.1, 3.0585e+18, 1.52833e+18, 38961.4, 20284.9, 279.87, 1979.37
1.3e-10, 400, 1.83473e+19, 14747.9, 3.0585e+18, 1.52833e+18, 42955.3, 22333.9, 331.493, 2178.85
1.4e-10, 400, 1.83473e+19, 15199.5, 3.0585e+18, 1.52833e+18, 47079.1, 24446.4, 388.033, 2384.46
1.5e-10, 400, 1.83473e+19, 15665.5, 3.0585e+18, 1.52833e+18, 51336.4, 26624.4, 449.627, 2596.38
1.6e-10, 400, 1.83473e+19, 16146.3, 3.0585e+18, 1.52833e+18, 55731.2, 28870.1, 516.414, 2814.82
1.7e-10, 400, 1.83473e+19, 16642.4, 3.0585e+18, 1.52833e+18, 60267.6, 31185.5, 588.54, 3039.99
1.8e-10, 400, 1.83473e+19, 17154.2, 3.0585e+18, 1.52833e+18, 64949.7, 33572.8, 666.154, 3272.09
1.9e-10, 400, 1.83473e+19, 17682.2, 3.0585e+18, 1.52833e+18, 69781.9, 36034.4, 749.411, 3511.35
2e-10, 400, 1.83473e+19, 18227, 3.0585e+18, 1.52833e+18, 74768.7, 38572.6, 838.47, 3758
2.1e-10, 400, 1.83473e+19, 18789, 3.0585e+18, 1.52833e+18, 79914.7, 41189.8, 933.495, 4012.27
2.2e-10, 400, 1.83473e+19, 19368.9, 3.0585e+18, 1.52833e+18, 85225, 43888.4, 1034.66, 4274.4
2.3e-10, 400, 1.83473e+19, 19967.1, 3.0585e+18, 1.52833e+18, 90704.4, 46671.2, 1142.13, 4544.63
2.4e-10, 400, 1.83473e+19, 20584.3, 3.0585e+18, 1.52833e+18, 96358.1, 49540.6, 1256.1, 4823.24
2.5e-10, 400, 1.83473e+19, 21221, 3.0585e+18, 1.52833e+18, 102192, 52499.5, 1376.75, 5110.48
2.6e-10, 400, 1.83473e+19, 21877.9, 3.0585e+18, 1.52833e+18, 108210, 55550.7, 1504.26, 5406.62
2.7e-10, 400, 1.83473e+19, 22555.6, 3.0585e+18, 1.52833e+18, 114420, 58697.1, 1638.86, 5711.95
